Country Name,Region Code,Country Code,"GDP, PPP (current international $)"," Population, total ",Population CGR 1960-2015,Internet users (per 100 people),Popltn Largest City % of Urban Pop,"2014 Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)",Exports of goods and services (% of GDP)
Mexico,MA,MEX,2194431313648.0,127017224.0,0.022099999999999998,57.4,0.209,76.7,93.5134201,0.35335622
"Macedonia, FYR",EU,MKD,28906996529.0,2078453.0,0.0060999999999999995,70.4,0.424,75.3,96.87072754,0.485253088
Mali,AF,MLI,42737160309.0,17599694.0,0.0222,10.3,0.358,58.0,22.1957798,0.218056056
Mongolia,EA,MNG,36067684621.0,2959134.0,0.0208,21.4,0.6459999999999999,69.5,98.55175781,0.449369833
Mozambique,AF,MOZ,33176597932.0,27977863.0,0.0242,9.0,0.132,55.0,45.52547073,0.26163924
Malawi,AF,MWI,20359121923.0,17215232.0,0.0288,9.3,0.32299999999999995,62.7,59.03110886,0.281110942
Malaysia,SE,MYS,815644552977.0,30331007.0,0.0242,71.1,0.302,74.7,93.1064682,0.710031654
Namibia,AF,NAM,25606197768.0,2458830.0,0.0259,22.3,0.321,64.7,90.64672089,0.439047592
Niger,AF,NER,18974643520.0,19899120.0,0.0327,2.2,0.292,61.5,11.01572037,0.171769086
Nicaragua,MA,NIC,31564122172.0,6082032.0,0.0226,19.7,0.267,74.8,82.64549255,0.375207427
Nepal,SS,NPL,70090459205.0,28513700.0,0.0191,17.6,0.223,69.6,54.7505188,0.116520236
Pakistan,SS,PAK,952505420987.0,188924874.0,0.0265,18.0,0.22699999999999998,66.2,42.72716904,0.10946127
Peru,SA,PER,389146724478.0,31376670.0,0.0209,40.9,0.401,74.5,91.54062653,0.210291087
Philippines,SE,PHL,741029139381.0,100699395.0,0.024700000000000003,40.7,0.29,68.3,97.03275299,0.27935343
Poland,EU,POL,993129043249.0,37999494.0,0.0045000000000000005,68.0,0.075,77.3,99.66921234,0.493617911
Portugal,EU,PRT,302328671399.0,10348648.0,0.0028000000000000004,68.6,0.439,80.7,94.13273621,0.403356159
Paraguay,SA,PRY,60976954890.0,6639123.0,0.023,44.4,0.595,72.9,94.95807648,0.418618246
Qatar,ME,QAT,321417765757.0,2235355.0,0.0726,92.9,0.324,78.6,97.51200867,0.553665249
Romania,EU,ROU,424474231139.0,19832389.0,0.0014000000000000002,55.8,0.17300000000000001,75.1,98.45471191,0.410936485
Russian Federation,RU,RUS,3579826387385.0,144096812.0,0.0033,73.4,0.114,70.4,99.7129364,0.295318405
Rwanda,AF,RWA,20418305189.0,11609666.0,0.0253,18.0,0.376,64.0,68.26931763,0.144252184
Saudi Arabia,ME,SAU,1685203505624.0,31540372.0,0.0379,69.6,0.243,74.3,91.84068298,0.33749789
Sudan,AF,SDN,167908849209.0,40234882.0,0.030899999999999997,26.6,0.377,63.5,53.12355042,0.069071088
Senegal,AF,SEN,36776220601.0,15129273.0,0.0288,21.7,0.532,66.4,43.80036163,0.277944361
Singapore,SE,SGP,471630937869.0,5535002.0,0.0223,82.1,1.0,82.6,94.98401642,1.764949634
Sierra Leone,AF,SLE,10264448142.0,6453184.0,0.0199,2.5,0.391,50.9,38.18144989,0.198052722
El Salvador,MA,SLV,52701274341.0,6126583.0,0.0146,26.9,0.26899999999999996,72.8,85.60791779,0.259587934
South Sudan,AF,SSD,22829044891.0,12339812.0,0.0263,17.9,0.138,55.7,25.39306068,0.097769917
Chad,AF,TCD,30480978104.0,14037472.0,0.028399999999999998,2.7,0.39899999999999997,51.6,31.75429916,0.298325271
Togo,AF,TGO,10663199059.0,7304578.0,0.0282,7.1,0.32799999999999996,59.7,55.30268097,0.458162067
Turkey,ME,TUR,1543283930048.0,78665830.0,0.019299999999999998,53.7,0.245,75.2,92.90122223,0.279618162
Tanzania,AF,TZA,138461029364.0,53470420.0,0.0308,5.4,0.303,64.9,76.08978271,0.207828762
Uganda,AF,UGA,71246084679.0,39032383.0,0.0323,19.2,0.308,58.5,66.78479767,0.174879586
Ukraine,EU,UKR,339154695998.0,45198200.0,0.0011,49.3,0.09300000000000001,71.2,99.73970795,0.527690408
Uruguay,SA,URY,72750983105.0,3431555.0,0.0055000000000000005,64.6,0.522,77.0,98.8039093,0.223019146
Uzbekistan,ME,UZB,187667827321.0,31299500.0,0.023399999999999997,42.8,0.198,68.3,99.99582672,0.206652496
Vietnam,SE,VNM,552297374128.0,91703800.0,0.0178,52.7,0.237,75.6,92.84365845,0.897792486
South Africa,AF,ZAF,723515991686.0,54956920.0,0.021099999999999997,51.9,0.264,57.2,93.42893219,0.308972318
"Congo, Dem. Rep.",AF,COD,60482256092.0,77266814.0,0.029900000000000003,3.8,0.353,58.7,65.8973465,0.294904393
Zimbabwe,AF,ZWE,27984877195.0,15602751.0,0.0262,16.4,0.297,57.5,85.28513336,0.262450276
